Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2019-09-15,Sunday, 7:45,77.0,10322,20.5,2749,0.8,106,1.4,183,,,0.3,43,97.5,"13,071","13,403"
2019-09-15,Sunday,12:45,68.8,10607,25.3,3901,2.6,395,2.0,304,1.1,170,0.3,42,94.1,"14,508","15,419"
2019-09-15,Sunday,20:45,68.3,10594,26.9,4176,3.5,538,1.0,157,,,0.3,45,95.2,"14,770","15,510"
2019-09-16,Monday,6:45,76.1,10551,19.9,2754,2.5,345,1.2,160,,,0.4,59,96.0,"13,305","13,869"
2019-09-16,Monday,12:45,68.6,10592,20.8,3206,8.3,1279, ,,1.8,274,0.5,73,89.4,"13,798","15,424"
2019-09-16,Monday,20:45,64.2,10580,23.5,3867,9.6,1584,2.3,385,,,0.4,70,87.7,"14,447","16,486"
2019-09-17,Tuesday,6:45,75.4,10586,19.7,2761,3.5,497,0.9,130,,,0.4,60,95.1,"13,347","14,034"
2019-09-17,Tuesday,12:45,67.7,10515,20.6,3201,7.8,1205,1.0,149,2.5,395,0.4,68,88.3,"13,716","15,533"
2019-09-17,Tuesday,19:45,63.9,10559,23.8,3934,10.5,1734,1.1,189,0.3,46,0.4,67,87.7,"14,493","16,529"
2019-09-18,Wednesday,6:45,73.2,10614,18.2,2633,4.0,579,4.2,615,, ,0.4,55,91.4,"13,247","14,496"
2019-09-18,Wednesday,12:45,65.0,10623,20.5,3349,7.3,1193,4.4,726,2.4,391,0.4,66,85.5,"13,972","16,348"
2019-09-18,Wednesday,20:45,63.1,10659,22.8,3858,7.2,1210,6.6,1111,,,0.4,64,85.9,"14,517","16,902"
2019-09-19,Thursday,6:45,72.9,10332,20.3,2877,1.9,265,4.6,650,,,0.4,55,93.2,"13,209","14,179"
2019-09-19,Thursday,20:45,60.8,10595,24.3,4238,10.1,1758,4.6,801,,,0.2,43,85.1,"14,833","17,435"
2019-09-20,Friday,7:45,69.5,10544,18.9,2863,7.0,1062,4.3,656,,,0.4,55,88.4,"13,407","15,180"
2019-09-20,Friday,12:45,64.0,10552,20.2,3334,12.6,2085,0.5,86,2.2,362,0.4,66,84.2,"13,886","16,485"
2019-09-20,Friday,20:45,59.2,10594,24.7,4426,14.7,2631,0.9,167,,,0.4,67,83.9,"15,020","17,885"
2019-09-21,Saturday,6:45,76.1,10602,19.9,2777,2.0,285,1.6,227,,,0.3,41,96.0,"13,379","13,932"
2019-09-21,Saturday,13:45,63.0,10602,21.4,3496,10.6,1777,2.5,428,2.4,410,,,84.4,"14,198","16,813"
2019-09-21,Saturday,20:45,58.9,10592,23.2,4168,11.3,2038,6.4,1147,,,,,82.1,"14,760","17,945"
2019-09-22,Sunday,7:45,70.7,10587,18.0,2700,1.3,200,9.9,1477,,,,,88.7,"13,287","14,964"
2019-09-22,Sunday,14:45,56.9,10574,18.0,3349,5.7,1059,17.6,3272,1.7,318,,,74.9,"13,923","18,572"
2019-09-22,Sunday,20:45,55.2,10555,23.6,4519,5.4,1027,15.7,3008,,,,,78.8,"15,074","19,109"
2019-09-23,Monday,6:45,67.5,10586,17.9,2813,5.3,823,9.2,1436,,,,,85.4,"13,399","15,658"
2019-09-23,Monday,12:45,56.6,10586,20.4,3823,13.2,2475,8.7,1621,0.9,160,0.2,32,77.0,"14,409","18,697"
2019-09-23,Monday,22:45,59.7,10622,22.5,4000,5.0,895,12.6,2241,,,0.2,30,82.2,"14,622","17,788"
2019-09-24,Tuesday,7:45,70.0,10626,19.5,2960,7.8,1185,2.5,375,,,0.2,27,89.5,"13,586","15,173"
2019-09-24,Tuesday,12:45,65.3,10685,21.3,3482,8.7,1423,2.6,418,2.0,328,0.2,33,86.6,"14,167","16,369"
2019-09-24,Tuesday,20:45,61.1,10643,25.3,4412,10.4,1803,2.8,493,,,0.4,67,86.4,"15,055","17,418"
2019-09-25,Wednesday,4:45,75.3,10738,18.7,2665,1.4,193,4.2,604,,,0.4,53,94.0,"13,403","14,253"
2019-09-25,Wednesday,20:45,57.5,10693,21.6,4026,5.4,1012,15.1,2815,,,0.4,66,79.1,"14,719","18,612"
2019-09-26,Thursday,7:45,70.4,10813,21.4,3287,1.6,249,6.2,957,,,0.4,57,91.8,"14,100","15,363"
2019-09-26,Thursday,16:45,63.3,10760,19.3,3286,2.4,411,13.2,2245,1.3,227,0.4,65,82.6,"14,046","16,994"
2019-09-26,Thursday,20:45,61.4,10775,28.6,5020,6.1,1068,3.6,628,,,0.4,69,90.0,"15,795","17,560"
2019-09-27,Friday,7:45,76.5,10795,19.1,2689,2.0,277,2.2,308,,,0.3,40,95.6,"13,484","14,109"
2019-09-27,Friday,13:45,63.8,10854,19.3,3293,3.6,608,11.0,1866,2.0,348,0.3,55,83.1,"14,147","17,024"
2019-09-27,Friday,20:45,60.5,10825,20.2,3611,3.4,606,15.8,2819,,,0.2,34,80.7,"14,436","17,895"
2019-09-28,Saturday,6:45,74.9,10787,17.4,2501,0.8,111,6.7,971,,,0.2,28,92.3,"13,288","14,398"
2019-09-28,Saturday,14:45,63.4,10738,24.3,4107,4.8,807,6.6,1117,0.8,131,0.2,30,87.7,"14,845","16,930"
2019-09-28,Saturday,20:45,64.1,10773,23.6,3972,4.9,816,7.3,1227,,,0.2,30,87.7,"14,745","16,818"
2019-09-29,Sunday,7:45,73.0,10164,19.3,2679,0.7,104,6.7,937,,,0.2,31,92.3,"12,843","13,915"
2019-09-29,Sunday,12:45,70.9,10758,20.7,3140,1.8,269,4.6,702,1.8,280,0.2,30,91.6,"13,898","15,179"
2019-09-29,Sunday,20:45,63.6,10705,25.9,4359,1.9,313,8.4,1413,,,0.2,35,89.5,"15,064","16,825"
2019-09-30,Monday,6:45,71.9,10216,20.0,2846,1.3,178,6.5,926,,,0.4,50,91.9,"13,062","14,216"
2019-09-30,Monday,12:45,66.0,10718,21.7,3525,8.2,1338,2.3,380,1.4,235,0.3,51,87.7,"14,543","16,547"
2019-09-30,Monday,20:45,60.6,10701,25.5,4497,7.0,1237,6.6,1166,,,0.3,55,86.1,"15,198","17,656"
